Species	grid_id	Abundance.trend.rightcensored	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	Family	NCGR	LarvalColor	LarvalHair	AdultSize	AdultColor	Diet.breadth.families
Achalarus lyciades	2547	1.88369459562299	0.12280658	-0.0509099269995924	0.08075224	96.7681907812754	0.00850041681725818	9.85528865677472	0.0158525738151408	-76.0302221	40.98761889	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2638	-2.89431684489302	0.0092759	-0.0343771242982897	0.414552885	109.683014732141	0.00869867448106298	10.9568912139377	0.0187962815853593	-74.04051994	41.1221102	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1202	6.58216766383843	0.12770493	-0.053040089475882	0.178943195	120.85929694084	0.00819883678219933	15.1355771938196	0.0019135203784825	-85.33981564	35.15666361	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1372	-0.36341897266684	0.347081625	-0.0194230061014228	0.210225275	92.7541682567352	-0.00100849550880074	15.7134618140184	0.0117900033219136	-80.5810055	35.53442042	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	985	0.695935788631674	0.00402735	-0.0480517051125132	0.029322095	106.130130052567	0.00595633180268813	18.8608977443133	0.00806312460757025	-79.36974955	33.20840813	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1457	-6.17054532171943	0.139914	-0.187040366956132	0.360959115	95.3285272104236	-2.1213913884578e-05	15.8804489725675	0.00909204903993024	-78.75857597	35.7354583	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2637	5.17205521438371	0.12301433	-0.00621702667403539	0.07834888	106.812501772856	0.00898668387401966	9.78750015128977	0.0183212941509963	-74.65760418	41.21797688	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Adelpha bredowii	660	-3.05837956418143	0.011659125	0.279378199006305	0.002956675	28.3115389077232	0.0038485205348633	16.0858976902106	0.0217692063207327	-109.10757424	31.89576671	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	596	-3.60548054657407	0.01434044	0.0286047502824248	0.01227213	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.11953888	31.34555361	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	657	-3.47070300850165	0.00242365	-0.0647295155863219	0.011934525	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.74703005	31.70648463	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1227	-3.28522056534875	0.0023231	-0.0278389190657927	0.12516307	40.2358979682844	-0.00583853234952893	14.2689104553981	0.0210999130782754	-117.10749356	34.27577564	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1713	-2.69749860448264	0.11164721	0.0259552674130211	0.01400625	68.4195523196354	9.82775552332792e-05	12.7012823040669	0.0172496743039164	-121.32225005	36.14175632	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2133	-2.50294234962015	0.130208045	0.00675563859511681	0.16849974	65.1397448375773	0.00175905743853867	14.7871797528022	0.0186437873320847	-122.12088588	38.19191202	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2049	-2.16491796272661	0.02987971	-0.16568549075308	0.33948004	45.367468699395	0.000275082518862857	14.6854169475727	0.0192274283281387	-121.95725444	37.78284503	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	3373	-2.60396853227679	0.29254346	0.0383549668174597	0.093280015	115.465707065538	0.0018452233237972	11.3237181623013	0.0138621324541773	-123.37316042	44.12372248	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1554	-2.88603922843719	0.007976465	-0.155962819117345	0.005741405	35.831090271664	8.73990902053933e-06	12.7961540550758	0.0163457081819838	-118.19397057	35.84420931	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	3375	-2.93690552456093	0.00014022	-0.217312762273819	0.004331195	86.6706743720585	0.00288362786188619	7.43733989772124	0.0137791962647054	-122.09408307	44.35916573	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2053	-2.51887842436253	0	-0.213636624079893	0.0014841	77.7852578571735	0.000918477936615045	6.47532063037253	0.0178949508189668	-119.62559253	38.22239868	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1226	-3.90761295817375	0.015026555	0.150887926988607	0.31719273	46.6724366823641	-0.00440879259102739	12.9317310192646	0.0199568671662957	-117.66425545	34.17999053	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	729	-2.52496839095785	0.00012155	0	0.003759115	21.3871798255266	0.00696447512118925	17.1195515424777	0.017215171354266	-106.41888394	32.58935345	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1225	-3.33985050423474	0.00927622	0.222993965238151	0.73964029	43.0913469479539	-0.00304931730357749	14.4336541432601	0.0196645186513737	-118.21950035	34.08173607	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1224	-3.32404414300991	0.007076255	0.00971389777265151	0.09394027	33.4971159328826	-0.00312010347310237	16.7493592948995	0.0206525419587344	-118.77319652	33.98102042	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2216	-3.09308035700795	0.113587465	0.009366921029176	0.08771903	82.3943123756729	0.00187020481368289	14.5437502413988	0.0179502194215506	-122.87111874	38.483018	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2390	-2.71414220489308	0.00125649	-0.0905138070822585	0.006801295	92.3775653444135	0.000211587885270657	9.14935912373356	0.015987112884655	-120.83761986	39.75753832	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	1797	-2.32675041792407	0.195166555	0.246509287458676	0.04900015	46.1115392539173	0.000160883953849057	13.7849361606133	0.0172366770536231	-121.47814145	36.55277848	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2132	-2.24409297725259	0.050163265	-0.172790343591565	0.09005909	78.2439111942569	0.00198956546777405	14.7291669173118	0.0195208361012963	-122.70217539	38.07505555	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Agraulis vanillae	657	6.27894672521394	0.00242365	-0.0647295155863219	0.011934525	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.74703005	31.70648463	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	985	13.2430451792197	0.00402735	-0.0480517051125132	0.029322095	106.130130052567	0.00595633180268813	18.8608977443133	0.00806312460757025	-79.36974955	33.20840813	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	905	3.40975417683564	0.153113155	0.0410199042331909	0.079631655	96.2939118651243	0.00049182583199376	17.8432694948637	-0.000272538705186089	-83.91185813	33.30226978	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	596	4.84287043978278	0.01434044	0.0286047502824248	0.01227213	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.11953888	31.34555361	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	836	0.513938631290367	0.067355605	-0.0617217263048393	0.12243194	91.5833347134101	-0.00166285035581247	18.141346396544	-0.00199122508435046	-83.42747602	32.8207102	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	222	5.88201313636318	0.334830915	-0.0686533446985518	0.02242112	109.823398973697	0.00175514849551485	23.2192311745424	0.0167499032564293	-81.07399731	27.73082226	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	353	3.77997892801811	0.012139485	-0.223964780559621	0.132890605	128.964425353477	0.00482954148902455	21.0711541573207	0.00425475164846846	-89.87088763	29.85043998	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	41	-1.14050295489684	0	-0.133942433982509	0.0101223	106.844232476675	0.00612173121340527	25.6887824107439	0.0186981796758462	-81.12943102	24.62399503	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	336	3.36914702249698	0.010171115	-0.15861302630988	0.03475469	51.0913470591872	0.00510234875657426	20.2990388289476	0.0049252436703776	-99.03112545	29.97099694	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	352	0.845666992148453	0.08765052	-0.216969948809927	0.108536255	129.711220360719	0.00425712946828369	21.0461541995024	0.00551761358874069	-90.40822885	29.87722723	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	342	-3.06947307121914	0.534540005	-0.0510918103222413	0.270530335	94.1811714319465	0.00625565862080076	21.2341349243354	0.00604872947434678	-95.79575003	30.0097734	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	269	8.15694757301983	0.01962165	-0.130557633471754	0.16423169	113.37115534758	0.000764159324977436	23.0823721304918	0.0159004012540698	-80.47180221	28.09190842	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	126	0.955239918235073	0.041770885	-0.119805705656223	0.388852515	140.695515543987	0.00409223442008416	24.7041670664763	0.0182306354015312	-80.29980171	26.29307395	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	104	7.37437264589857	0.01233736	-0.127561668253944	0.46064562	132.594874172257	0.00433157542077788	25.0567311445872	0.0191249224196154	-80.38416352	25.85948538	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	296	-2.4379652563891	0.00447724	-0.204400250946316	0.00285488	117.36602755999	0.00552388869618361	21.0740387378595	0.00779337894826874	-93.65198674	29.55273108	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	459	3.70053480284702	0.0241775	-0.192187685899249	0.1246111	128.23982589477	0.00459416997164056	20.0326926352886	0.00125550295495465	-86.54945252	30.50058808	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	320	6.49793894257993	0.06146877	-0.118139671611781	0.15050548	116.570835526173	-0.00136303766180094	22.7618593986218	0.0152425310347741	-80.9079255	28.59216656	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	367	4.91126936269282	0.4520553	-0.0353923208338025	0.132063315	113.283976235069	0.00167446725280211	21.6637824131892	0.0136600911885352	-82.40469247	29.21889794	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	124	6.74809502380251	0.352853855	-0.0330934344081993	0.098412945	123.332694302767	0.00603785837637623	24.5641029492403	0.0178304479478653	-81.31641743	26.4332029	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	267	7.25143743841918	0.158345435	-0.104902878930641	0.344593225	107.955770908449	0.000355505609950951	22.895352941293	0.0158043970855967	-81.51194274	28.2294268	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	1145	-2.33166714390736	0.010191735	0	0.416114515	24.8003209136809	-0.00341369999045199	18.0221157349073	0.0208157073793237	-118.08787557	33.6648018	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	419	9.02004951674313	0.049064815	-0.113742592904107	0.092267085	109.467843731754	0.000330127922516515	21.9382482196531	0.0143559173318271	-81.26717093	29.51906353	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	521	4.28790411113598	0.375148335	-0.118337466100766	0.04302442	120.285899198972	0.000515152415644814	19.6330131384043	-0.00032571394522529	-85.40986795	30.83938965	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	710	4.47431796600966	0.00406603	-0.0546448482617896	0.0462516	99.7884629139533	0.000420317496817461	19.8496797879537	0.00775210021701456	-81.38527327	31.72262165	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	265	5.29526073252067	0.154707465	-0.118071921457121	0.299608585	112.18974566345	-0.000386023356271301	22.7599362287766	0.0157244310495958	-82.55561088	28.35740928	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	175	6.60915974675578	0.6131914	0.00726042296646313	0.10343676	114.793592002147	0.00230562402032662	23.1980773271658	0.0162171655464818	-81.67068903	27.3660921	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	82	1.68967299342082	0.06895236	-0.0897485647997315	0.139019805	116.860258423556	0.00497818735450292	25.2455131854766	0.0185759810118578	-80.46763165	25.42508076	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	293	6.1854855837453	0.26454218	-0.115631439921901	0.58549008	100.518270835663	0.00561692483072859	21.1092951939656	0.00728819911706479	-95.2605706	29.57393376	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	62	0.0393969971275832	0	-0.133942433982509	0.00923606	116.860258423556	0.00497818735450292	25.2455131854766	0.0185759810118578	-80.5502201	24.98984408	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	40	-2.66274978570533	0	-0.133942433982509	0.017192425	104.925322181903	0.00662769788195943	25.7211542374048	0.0182141892249725	-81.62774667	24.6919168	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	319	3.26388448968462	0.1027013	-0.110942765621793	0.524883975	109.970194159792	-0.000794576182069488	22.5929491030864	0.0154724119312952	-81.4312537	28.66000535	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	1124	4.08789492587751	0.26535141	0.0499995666315151	0.04923035	120.428848057221	0.00622572192012039	15.3766028115717	-0.000135976668229797	-85.4043743	34.73185312	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	403	5.61823457767536	0.0062563	-0.21588931990299	0.078257745	128.704809803611	0.00421562576441104	20.4756413193849	0.00276092711364527	-89.83591214	30.28282511	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	392	6.62602800867882	0.41606869	-0.0104500695744747	0.05821368	98.1474374479208	0.00588844918629393	20.8599362052404	0.00542161757744038	-95.79458121	30.44284487	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	611	4.31582060384004	0.25339969	0.0255241681943921	0.050551575	30.2654652120366	0.00303454736651263	18.5971156469522	0.0120202393156072	-101.88934465	32.0274248	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	585	2.64166481121837	0.018198995	-0.0372524567221802	0.018990275	106.764424846723	0.000490332664002874	20.0634618309828	0.00480982432706243	-82.09253216	30.93386013	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	152	1.14656093876817	0.09978101	-0.115571830393742	0.38533821	134.694232747341	0.00436834712538037	24.3089747245495	0.0178998994447019	-80.21453194	26.72586237	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	219	2.12939004723214	0.013587335	-0.135032363114078	0.474392805	114.614425228956	0.00173387807442147	23.0432695394907	0.0152393862962277	-82.62982883	27.92560762	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	103	3.91754706551068	4.05e-05	-0.133763102188208	0.001678135	129.630130978731	0.00544827112915155	25.0189105853056	0.0185497973523261	-80.88939687	25.93046339	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	618	3.83320849358553	0.06751964	-0.144336884665449	0.02696169	69.7375011150845	0.00640210118058226	18.6429490210154	-0.00313657005827403	-98.01025438	32.15301199	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	402	0.159138522022872	0.012936165	-0.221098746374188	0.055100245	129.947758910748	0.00342133976340083	20.4849362144103	0.00459592845913486	-90.37630461	30.30972735	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	1215	8.09974197634549	0.04244658	-0.164447306181557	0.13697693	116.616668552733	0.00767675881121917	17.9126605215745	0.00790940287194084	-77.94387871	34.31710576	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	50	3.13233743150159	0.790601755	0.123841344113475	0.16765871	49.6663470005808	0.00635168346014123	23.7474362605657	0.00673520944783789	-97.85796017	26.06718283	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	2049	3.88490727702837	0.02987971	-0.16568549075308	0.33948004	45.367468699395	0.000275082518862857	14.6854169475727	0.0192274283281387	-121.95725444	37.78284503	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	508	-0.222160590342313	0.25904161	-0.120804475819322	0.0759417	123.922437937214	0.00587158250371434	19.5934298069049	0.00576975886980291	-92.50117853	31.25658604	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	149	4.1930453668851	0.380757215	-0.0685397715373041	0.094122055	121.162502129873	0.00418736841615085	23.941346568939	0.0171416786788202	-81.74877453	26.93330432	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	417	3.41126975475521	0.203930945	-0.0577132865773184	0.08444092	112.870194143974	0.00100278488386515	21.1259618569643	0.0115504994275501	-82.32796437	29.64861668	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	388	4.91956098460036	0.002624705	-0.160461230382288	0.224719185	69.8532063105168	0.00558071850711514	20.6458335916201	0.0030424246701776	-97.96425278	30.42678471	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	977	4.10924363987999	0.19104676	-0.0391182162429857	0.25663827	103.819232436327	0.00149692605745663	17.0942310797863	0.00193269647087251	-83.83972237	33.72773855	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	826	1.76944902629732	0.109135975	-0.124936441786855	0.034905685	118.665547189709	0.00714307622646664	17.4134618273148	0.00233039736872564	-89.01715506	33.26311782	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	955	-3.43795067555932	0.312046255	0.00965586914791592	0.01724319	90.4243606927399	0.00560262767150269	17.566346441706	0.00265656820743068	-96.3553701	34.3154996	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	688	8.7471841629873	0.16684885	-0.149662204453682	0.15242726	102.910258101347	0.00658101610236702	18.8730772542648	0.00605382137502145	-93.55520241	32.57553583	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	1202	5.80113628280359	0.12770493	-0.053040089475882	0.178943195	120.85929694084	0.00819883678219933	15.1355771938196	0.0019135203784825	-85.33981564	35.15666361	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	681	1.70467734074751	0.101258425	-0.125090651028526	0.261476265	72.1471165195585	0.0051668865372865	18.9993593325982	-0.00130370470958956	-97.46381627	32.59111434	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	194	3.72156449082193	0.56218808	-0.0628909557013998	0.02355948	67.6727576253888	0.00564054459639661	21.5221157073975	0.00936464528828894	-97.92030916	28.69103515	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	49	6.78006512535745	0.57500519	0.0243208133934367	0.19392944	39.1637827239405	0.00606676327555014	23.7663465218666	0.00719312659317646	-98.37082827	26.05737878	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Agraulis vanillae	1059	14.6849363068239	0.08809832	-0.123866561835704	0.09259726	105.394553126433	0.00345923026259028	18.2782054512929	0.00615679477012312	-79.27088269	33.63086121	Nymphalidae	G5	aposematic	yes	79	aposematic	3
Amblyscirtes aesculapius	836	1.76177363773129	0.067355605	-0.0617217263048393	0.12243194	91.5833347134101	-0.00166285035581247	18.141346396544	-0.00199122508435046	-83.42747602	32.8207102	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	1457	4.83773912967418	0.139914	-0.187040366956132	0.360959115	95.3285272104236	-2.1213913884578e-05	15.8804489725675	0.00909204903993024	-78.75857597	35.7354583	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	1378	-3.24403744120647	0.156627345	-0.127237297262062	0.05873615	111.75096348845	0.00946092098634179	16.5916669147137	0.00770604859746862	-77.15730255	35.07371942	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	977	3.9307153680064	0.19104676	-0.0391182162429857	0.25663827	103.819232436327	0.00149692605745663	17.0942310797863	0.00193269647087251	-83.83972237	33.72773855	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	826	0.955059335714958	0.109135975	-0.124936441786855	0.034905685	118.665547189709	0.00714307622646664	17.4134618273148	0.00233039736872564	-89.01715506	33.26311782	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	1706	2.61062742359046	0.30767702	-0.0245072176583806	0.09133899	102.402245106462	0.00341270017424705	15.6237182015887	0.0087550251154815	-76.68949674	36.74574745	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes aesculapius	1286	1.26318480353353	0.049981155	0.064485037140871	0.06195311	140.692470642237	0.00461756641976828	12.1338143106669	0.00294369507066464	-82.9668537	35.36755465	Hesperiidae	G4	aposematic	no	34	cryptic	1
Amblyscirtes vialis	3534	-4.25972223502611	0.0033431	0	0.01092717	71.5974371738923	0.014007426303571	4.90256419806526	0.0153894565389792	-77.80539224	45.97140187	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	3439	-4.78494994067109	0	0	0.001574105	84.6886233427586	0.0130990649956402	4.27275649554884	0.0148698492463216	-78.60450009	45.63453472	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	4021	-0.71907338226479	0.01418602	-0.103502741733215	0.01899546	79.0711550036302	0.00332135891083608	6.08237189923724	0.0124546257197306	-120.71967776	47.66592243	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	4289	-1.17461449493514	0.850032725	0.0227040844038547	0.019153055	35.7075326599372	0.00369472545508154	3.000801338456	0.0136805551034774	-103.92550793	50.68314649	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	2893	-3.03170553579232	0.213132925	-0.218758830988208	0.00833112	79.1229180326829	0.0137257475203709	8.53621810255572	0.0130335686517112	-81.90720836	43.41047146	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	2534	-0.660815188242025	0.742340495	-0.252941938529685	0.059615845	79.8487193645575	0.010147434048766	9.69551296844983	0.00837272137418302	-84.18894181	41.90665946	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	3668	-7.02499405420256	0.045201575	-0.0646859149079522	0.036498185	30.01698767241	0.00227345124621376	6.22195524580251	0.0121464079602995	-113.94267117	46.86383189	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	3293	-4.81327466757915	2.88e-06	-0.130181363602807	0.00047628	45.32484053935	0.00270983778533624	4.95608981699945	0.0109775484313854	-115.42097505	44.95449354	Hesperiidae	G5	cryptic	no	27	cryptic	1
Amblyscirtes vialis	2176	-1.5218980664099	0.87718998	-0.0451685159923799	0.02564742	68.118270426917	0.00605310405323426	10.8717950759217	0.00384259020639912	-95.76187742	40.69829218	Hesperiidae	G5	cryptic	no	27	cryptic	1
Anaea andria	1266	-2.76805624538834	0.45780919	0.125137606303607	0.03099304	96.8802901069896	0.0061008005856329	15.4726765497755	0.00703658975270904	-94.60599328	36.01769096	Nymphalidae	G4	aposematic	yes	71	aposematic	1
Anaea andria	826	0.922030521819583	0.109135975	-0.124936441786855	0.034905685	118.665547189709	0.00714307622646664	17.4134618273148	0.00233039736872564	-89.01715506	33.26311782	Nymphalidae	G4	aposematic	yes	71	aposematic	1
Anaea andria	681	0.0237548703027723	0.101258425	-0.125090651028526	0.261476265	72.1471165195585	0.0051668865372865	18.9993593325982	-0.00130370470958956	-97.46381627	32.59111434	Nymphalidae	G4	aposematic	yes	71	aposematic	1
Anaea andria	342	2.09073830934707	0.534540005	-0.0510918103222413	0.270530335	94.1811714319465	0.00625565862080076	21.2341349243354	0.00604872947434678	-95.79575003	30.0097734	Nymphalidae	G4	aposematic	yes	71	aposematic	1
